rel_path,mean_db,max_db,median_db,peak_to_mean
Thai\short vowels-#VD\ad55.mp3,-63.62,-10.74,-72.43,52.88
Thai\short vowels-#VD\ag55.mp3,-58.80,-9.71,-70.87,49.09
Thai\short vowels-#VD\am55.mp3,-45.88,-9.19,-44.96,36.69
Thai\short vowels-#VD\an55.mp3,-41.05,-10.15,-33.02,30.90
Thai\short vowels-#VD\aŋ55.mp3,-42.54,-10.30,-29.59,32.24
Thai\short vowels-#VD\aʊ55.mp3,-46.30,-8.88,-60.58,37.42
Thai\short vowels-#VD\aɪ55.mp3,-57.55,-11.51,-63.78,46.04
Thai\short vowels-#VD\eb55.mp3,-63.57,-11.18,-74.45,52.39
Thai\short vowels-#VD\ed55.mp3,-61.89,-12.74,-74.48,49.16
Thai\short vowels-#VD\eg55.mp3,-68.47,-11.67,-73.80,56.80
Thai\short vowels-#VD\em55.mp3,-52.45,-10.15,-54.83,42.29
Thai\short vowels-#VD\en55.mp3,-45.70,-12.06,-47.47,33.63
Thai\short vowels-#VD\eŋ55.mp3,-41.81,-11.30,-25.55,30.51
Thai\short vowels-#VD\eʊ55.mp3,-51.86,-8.29,-60.83,43.57
Thai\short vowels-#VD\ub55.mp3,-61.01,-10.05,-72.40,50.95
Thai\short vowels-#VD\ud55.mp3,-61.01,-10.05,-72.40,50.95
Thai\short vowels-#VD\ug55.mp3,-64.35,-9.39,-72.99,54.96
Thai\short vowels-#VD\um55.mp3,-34.22,-7.24,-19.75,26.99
Thai\short vowels-#VD\un55.mp3,-47.15,-8.19,-45.43,38.96
Thai\short vowels-#VD\uŋ55.mp3,-46.44,-8.33,-52.53,38.11
Thai\short vowels-#VD\ɯb55.mp3,-60.92,-7.78,-69.40,53.14
Thai\short vowels-#VD\ɯd55.mp3,-60.92,-7.78,-69.40,53.14
Thai\short vowels-#VD\ɯg55.mp3,-51.88,-8.36,-67.69,43.53
Thai\short vowels-#VD\ɯm55.mp3,-51.93,-8.13,-53.60,43.80
Thai\short vowels-#VD\ɯn55.mp3,-52.48,-7.39,-51.17,45.09
Thai\short vowels-#VD\ɯŋ55.mp3,-51.86,-7.56,-45.39,44.30
Vietnamese\long vowels-#DV\biː女.mp3,-22.48,-8.97,-13.46,13.51
Vietnamese\long vowels-#DV\biː男.mp3,-24.87,-13.55,-17.47,11.32
Vietnamese\long vowels-#DV\bu女.mp3,-20.65,-8.15,-12.96,12.50
Vietnamese\long vowels-#DV\bu男.mp3,-18.69,-10.85,-14.61,7.84
Vietnamese\long vowels-#DV\bɔ女.mp3,-29.94,-7.66,-14.66,22.27
Vietnamese\long vowels-#DV\bɔ男.mp3,-27.45,-11.95,-18.29,15.50
Vietnamese\long vowels-#DV\bə女.mp3,-29.36,-9.50,-15.85,19.86
Vietnamese\long vowels-#DV\bə男.mp3,-20.39,-11.18,-14.01,9.21
Vietnamese\long vowels-#DV\bɛ女.mp3,-20.34,-8.97,-13.01,11.37
Vietnamese\long vowels-#DV\bɛ男.mp3,-19.71,-12.47,-15.79,7.24
Vietnamese\long vowels-#DV\bαː女.mp3,-22.71,-8.61,-15.24,14.11
Vietnamese\long vowels-#DV\bαː男.mp3,-25.89,-10.56,-17.75,15.33
Vietnamese\long vowels-#DV\diː女.mp3,-18.50,-9.68,-12.51,8.82
Vietnamese\long vowels-#DV\diː男.mp3,-22.95,-11.62,-14.49,11.34
Vietnamese\long vowels-#DV\du女.mp3,-18.92,-10.46,-13.90,8.46
Vietnamese\long vowels-#DV\du男.mp3,-20.63,-10.35,-15.41,10.28
Vietnamese\long vowels-#DV\dɔ女.mp3,-19.50,-8.56,-12.71,10.94
Vietnamese\long vowels-#DV\dɔ男.mp3,-22.56,-11.17,-14.83,11.38
Vietnamese\long vowels-#DV\də女.mp3,-19.53,-10.18,-15.03,9.35
Vietnamese\long vowels-#DV\də男.mp3,-23.10,-11.49,-14.04,11.61
Vietnamese\long vowels-#DV\dɛ女.mp3,-24.97,-7.59,-15.05,17.38
Vietnamese\long vowels-#DV\dɛ男.mp3,-18.38,-11.98,-14.62,6.39
Vietnamese\long vowels-#DV\dαː女.mp3,-19.22,-8.25,-14.46,10.97
Vietnamese\long vowels-#DV\dαː男.mp3,-24.00,-11.71,-18.75,12.29
Vietnamese\long vowels-#DV\gu女.mp3,-25.69,-7.90,-15.31,17.79
Vietnamese\long vowels-#DV\gu男.mp3,-24.50,-11.64,-15.72,12.86
Vietnamese\long vowels-#DV\gɔ女.mp3,-26.66,-7.22,-13.88,19.44
Vietnamese\long vowels-#DV\gɔ男.mp3,-23.91,-11.36,-18.82,12.55
Vietnamese\long vowels-#DV\gə女.mp3,-23.05,-10.33,-14.65,12.72
